day_name,hour,nombre_trajets,tarif_moyen,distance_moyenne,vitesse_moyenne,pourboire_pct_moyen
Lundi,16,24896,20.163498152313593,6.042862258258368,18.35879237996023,21.85840967581241
Lundi,17,26227,18.640642467685957,5.452661386769376,17.790670218141024,22.85359374455829
Lundi,18,26476,17.527129475751547,5.125243385647391,18.826877172486938,23.383262814769218
Lundi,19,22171,19.029746966758353,5.977105164800894,21.701011042038218,23.117258669859126
Lundi,20,19292,19.542897055774382,6.276846437155312,23.182318542835073,22.39099010241096
Lundi,21,17036,19.979992956093,6.550141330464928,24.275389763916724,22.496156727586474
Lundi,22,12758,22.65289543815642,7.769981315942961,27.151147095339592,21.44885389054309
Lundi,23,9193,25.879004677471997,9.214461472555245,29.5008944410526,20.256242613930027
Mardi,0,5669,25.318190156994174,9.056794344822732,29.708141364992677,19.986226929931558
Mardi,1,2307,26.619956653662776,9.470027641525792,31.35865100243494,18.297562437418158
Mardi,2,1158,23.673126079447314,8.222726774093259,30.115212412916765,19.15225674724074
Mardi,3,818,26.648251833740822,9.515212912958436,33.77402582268767,17.74655724118659
Mardi,4,921,30.24312703583062,10.923364670792614,35.52611618114411,16.404846539473994
Mardi,5,2688,27.844360119047618,10.22112908690477,31.037589262983097,16.736150692734356
Mardi,6,6832,21.219089578454337,7.263046585889947,24.183985320202346,18.428141919478364
Mardi,7,14994,18.134974656529312,5.4421441010671225,19.07191873959818,19.930847739940074
Mardi,8,20561,17.954260006808994,4.741649764612648,15.832140892471498,20.4065977569249
Mardi,9,21829,18.77077374135325,4.804891773723057,15.405205629163309,19.827911080806796
Mardi,10,22523,19.065982329174616,4.815019808213851,15.140771314567301,19.601946481231032
Mardi,11,24051,18.350736767701978,4.502978955103769,14.37405203805806,19.544909394489746
Mardi,12,24329,18.76700604217189,4.923543844539473,15.336833177212883,19.466031785258906
Mardi,13,25206,18.637523605490752,5.093351041736132,15.819717940169479,19.708252996198947
Mardi,14,27863,19.141059828446338,5.2422770424721215,15.528216462133793,20.004174157233734
Mardi,15,28553,18.747123594718595,5.044628495331526,14.979085731280358,20.0067820516714
Mardi,16,28002,19.27773087636602,5.4126687043068635,16.039141023620388,23.043194086587143
Mardi,17,31394,17.58986653500666,4.738716855010544,15.603883902308318,23.7962020767449
Mardi,18,31825,16.329574234092668,4.39798918147372,16.60840619090903,24.663242164644124
Mardi,19,27128,16.658094957239758,4.842416141912434,19.14525696527584,24.714064185486926
Mardi,20,24072,17.25783815221002,5.202288490137933,20.88488209114965,23.306989002645185
Mardi,21,24310,17.610944055944096,5.3806657671822675,21.502807252213934,23.107476554464952
Mardi,22,17894,19.12358108863307,6.072117885671189,23.11193544722179,22.31631581015819
